Species,ID,Sex,SVL
gundlachi,G141,NA,42
sagrei,S105,NA,42
angusticeps,A020,NA,43
gundlachi,G155,NA,43
cybotes,Y200,NA,44
gundlachi,G144,NA,44
smaragdinus,C016,NA,44
cybotes,Y145,NA,45
gundlachi,G139,NA,46
cybotes,Y131,NA,47
coelestinus,C217,NA,48
cybotes,Y138,NA,48
grahami,G310,NA,48
cristatellus,C103,NA,51
coelestinus,C212,NA,52
cristatellus,C101,NA,56
