Species,ID,Sex,SVL
krugi,K231,F,45
lineatopus,L114,F,45
lineatopus,L119,F,45
lineatopus,L151,F,45
lineatopus,L161,F,45
lineatopus,L165,F,45
lineatopus,L189,F,45
lineatopus,L192,F,45
lineatopus,L193,F,45
lineatopus,L301,F,45
lineatopus,L314,F,45
lineatopus,L317,F,45
lineatopus,L338,F,45
olssoni,o113,F,45
olssoni,o117,F,45
smaragdinus,C103,F,45
smaragdinus,C106,F,45
coelestinus,C228,F,46
cristatellus,C113,F,46
cristatellus,C120,F,46
cristatellus,C127,F,46
cristatellus,C135,F,46
cristatellus,C141,F,46
cristatellus,C143,F,46
grahami,G100,F,46
grahami,G136,F,46
grahami,G141,F,46
grahami,G160,F,46
grahami,G164,F,46
grahami,G170,F,46
grahami,G174,F,46
grahami,G176,F,46
grahami,G178,F,46
grahami,G303,F,46
grahami,G315,F,46
grahami,G335,F,46
gundlachi,G104,F,46
gundlachi,G116,F,46
gundlachi,G122,F,46
gundlachi,G125,F,46
gundlachi,G158,F,46
gundlachi,G168,F,46
gundlachi,G179,F,46
lineatopus,L140,F,46
lineatopus,L156,F,46
lineatopus,L195,F,46
lineatopus,L196,F,46
lineatopus,L359,F,46
lineatopus,L361,F,46
smaragdinus,C019,F,46
coelestinus,C111,F,47
coelestinus,C233,F,47
cristatellus,C115,F,47
cybotes,Y224,F,47
cybotes,Y243,F,47
grahami,G116,F,47
grahami,G143,F,47
grahami,G173,F,47
grahami,G302,F,47
grahami,G320,F,47
grahami,G330,F,47
gundlachi,G148,F,47
gundlachi,G172,F,47
gundlachi,G175,F,47
lineatopus,L107,F,47
lineatopus,L328,F,47
coelestinus,C103,F,48
coelestinus,C108,F,48
coelestinus,C215,F,48
coelestinus,C223,F,48
coelestinus,C230,F,48
cristatellus,C138,F,48
cristatellus,C147,F,48
cristatellus,C148,F,48
cybotes,Y217,F,48
cybotes,Y218,F,48
cybotes,Y234,F,48
grahami,G130,F,48
grahami,G157,F,48
grahami,G175,F,48
grahami,G319,F,48
grahami,G348,F,48
grahami,G351,F,48
smaragdinus,C009,F,48
smaragdinus,C015,F,48
carolinensis,F111,F,49
carolinensis,L119,F,49
carolinensis,L142,F,49
carolinensis,P123,F,49
